target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
direction,stem,False,smote,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,False,smote,BOW,Logistic Regression,0.8571428571428571,0.7423783435385111,0.8298367401880661,0.7776471316294326
direction,stem,False,smote,BOW,"Naive Bayes, Multinomial",0.7888198757763976,0.7060963618485743,0.708029664955227,0.6945240669859197
direction,stem,False,smote,BOW,"Naive Bayes, Complement",0.7763975155279503,0.6735902255639097,0.6907357908838593,0.671201814058957
direction,stem,False,smote,BOW,Random Forest,0.8136645962732919,0.7212669683257918,0.8071777910248766,0.7469793541899804
direction,stem,False,smote,BOW,Support Vector Machines,0.8322981366459627,0.7051991614255765,0.7891467799934619,0.738185629883743
direction,stem,False,ada,Doc2Vec,Logistic Regression,0.6956521739130435,0.39999999999999997,0.36964534097391816,0.362089911396915
direction,stem,False,ada,Doc2Vec,Random Forest,0.7453416149068323,0.6944444444444443,0.37426045933247437,0.36727272727272725
direction,stem,False,ada,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,False,ada,BOW,Logistic Regression,0.8695652173913043,0.768452380952381,0.8237473479094155,0.7913941850112063
direction,stem,False,ada,BOW,"Naive Bayes, Multinomial",0.7888198757763976,0.7002401382706985,0.7227724041561706,0.698385093167702
direction,stem,False,ada,BOW,"Naive Bayes, Complement",0.7763975155279503,0.6864044292538626,0.7054785300848027,0.6777139966037198
direction,stem,False,ada,BOW,Random Forest,0.8260869565217391,0.7034032634032634,0.7629623931952644,0.7281166535689305
direction,stem,False,ada,BOW,Support Vector Machines,0.8322981366459627,0.7117564534231201,0.7657635136434436,0.7323061966183126
